tileNumber,tumor_stroma_log_cd8_ratio,MYH11+aSMA+ scores,tumor_CD8_density,stromal_CD8_density,stromal_CD3_density,tumor_CD3_density,tumor_stroma_log_cd3_ratio
64,0.433,0,1171.645,2705.972,6897.576,2741.649,0.397
65,0.44,1.584962501,544.41,1238.412,3120.797,1476.712,0.473
66,0.131,2.321928095,262.345,2007.161,6690.538,1019.399,0.152
67,0.248,2,389.782,1574.158,6353.727,1287.187,0.203
68,0.233,0,430.614,1846.341,5967.636,1110.53,0.186
69,0.302,0.736965594,428.184,1415.854,5011.872,1457.205,0.291
70,0.299,0.584962501,396.381,1324.765,4486.134,1397.08,0.311
71,0.164,0,216.171,1319.695,4130.475,591.292,0.143
72,0.127,1,326.42,2566.059,6180.615,852.688,0.138
73,0.117,1.584962501,331.244,2829.853,6752.503,1012.66,0.15
74,0.209,0,414.553,1981.294,6751.639,789.625,0.117
75,0.144,0.584962501,474.809,3295.365,7757.952,1096.972,0.141
76,0.189,0.415037499,543.568,2877.692,7337.796,1404.216,0.191
77,0.331,1.584962501,362.84,1096.51,3823.544,798.248,0.209
78,0.206,-0.415037499,307.335,1492.015,4493.293,691.504,0.154
79,0.186,0.584962501,362.721,1945.161,5678.882,906.802,0.16
80,0.276,1.584962501,333.541,1207.002,3811.586,945.033,0.248
81,0.567,0.584962501,699.14,1232.433,3870.61,1565.679,0.405
82,0.332,1,651.224,1963.454,5222.588,1719.524,0.329
83,0.316,0.584962501,601.882,1902.998,5441.384,1538.143,0.283
84,0.396,1,620.311,1568.131,5030.647,1402.443,0.279
85,0.418,0,467.126,1116.927,3756.936,1315.58,0.35
86,0.732,1.584962501,395.623,540.238,1748.905,995.879,0.569
87,0.392,1.321928095,516.561,1317.277,3184.809,1220.153,0.383
88,0.283,0.321928095,266.188,941.871,3022.749,898.383,0.297
89,0.455,2,256.712,563.771,1809.312,661.227,0.365
90,0.391,0.678071905,352.184,900.021,2950.069,787.938,0.267
91,0.342,0.584962501,371.492,1087.361,3492.348,874.553,0.25
92,0.522,1.321928095,309.312,592.684,2469.518,814.774,0.33
93,0.479,2.321928095,403.885,843.023,1742.248,785.332,0.451
94,1.051,0,576.269,548.147,1415.366,1330.908,0.94
95,0.19,0,210.68,1107.407,3225.079,763.716,0.237
96,0.295,1,452.176,1532.38,5510.375,1156.279,0.21
97,0.174,1,492.774,2837.466,6248.462,1426.146,0.228
98,0.479,0,434.246,906.646,2565.616,769.799,0.3
99,0.198,0,711.525,3589.901,8058.962,1676.038,0.208
100,0.301,0.584962501,1089.902,3617.345,9809.481,2610.974,0.266
101,0.308,1.263034406,494.84,1608.795,4491.219,1414.825,0.315
102,0.313,0,325.292,1038.906,3741.3,924.515,0.247
103,0.183,1,240.247,1310.435,3965.791,704.723,0.178
104,0.232,1.584962501,500.915,2161.135,7203.784,1541.878,0.214
105,0.254,0.584962501,391.861,1540.565,5398.042,1255.408,0.233
106,0.272,0,320.521,1178.987,3143.967,904.58,0.288
107,0.04,1,61.822,1561.852,5395.489,587.312,0.109
108,0.202,1.584962501,313.758,1549.897,4781.596,1228.886,0.257
109,0.24,1.584962501,483.785,2013.864,5271.261,1386.23,0.263
110,0.251,0.584962501,380.035,1516.123,5607.898,1031.524,0.184
111,NA,0.087462841,NA,1431.715,4131.519,NA,NA
112,0.384,0,684.882,1783.431,4942.352,1530.912,0.31
113,0.313,1.321928095,586.817,1872.858,5533.443,1308.444,0.236
114,0.13,0.584962501,224.864,1724.898,4790.341,870.125,0.182
115,0.312,0.415037499,508.602,1629.79,4806.097,1123.655,0.234
116,0.383,1,333.813,870.533,3242.419,1034.821,0.319
117,0.412,1,988.062,2398.799,7022.467,2486.808,0.354
118,0.378,2,1297.542,3436.745,8203.843,2633.816,0.321
119,0.476,-0.584962501,1307.923,2750.027,6737.148,2804.488,0.416
120,0.501,0.584962501,469.129,936.181,3242.143,1320.108,0.407
121,0.235,1.584962501,268.877,1142.984,3951.459,925.253,0.234
122,0.563,0.584962501,612.69,1088.232,2623.682,1352.542,0.516
123,0.383,-1,636.179,1661.422,6085.44,1772.957,0.291
124,0.227,1.584962501,396.057,1745.648,5023.192,1038.55,0.207
125,0.289,0.584962501,338.332,1172.459,3689.481,984.238,0.267
126,0.33,2,417.929,1266.049,3754.863,1001.452,0.267
127,0.454,1.584962501,264.154,581.829,2074.348,675.061,0.325
128,0.406,-1.584962501,457.56,1127.067,3803.851,1185.156,0.312
129,0.427,0,338.225,791.9,2896.95,775.443,0.268
130,0.22,0,299.079,1361.593,3854.651,765.085,0.198
131,0.261,-1,378.579,1450.381,4680.773,1256.559,0.268
132,0.207,0,600.857,2897.981,6545.017,1264.594,0.193
133,0.173,0,478.037,2761.309,6233.052,1113.402,0.179
134,0.281,0,264.328,940.76,2969.85,725.496,0.244
135,0.18,0,197.267,1095.046,3209.618,540.34,0.168
136,0.21,2,569.084,2712.163,6480.067,1677.301,0.259
137,0.304,0,1228.776,4047.703,7922.158,2571.857,0.325
138,0.188,1.584962501,707.059,3754.175,9533.17,1935.72,0.203
139,0.177,-1,610.222,3452.36,7757.23,1756.248,0.226
140,0.177,2,200.783,1132.708,3870.085,666.888,0.172
141,0.122,1.584962501,220.862,1808.844,5832.254,1090.063,0.187
142,0.34,1.321928095,804.71,2366.362,6527.122,1837.015,0.281
143,0.333,0,805.738,2418.55,6344.925,2287.72,0.361
144,0.3,0.584962501,602.876,2006.701,5816.892,1808.627,0.311
145,0.297,0.584962501,556.758,1874.372,5496.956,1315.974,0.239
146,0.288,0.736965594,680.366,2364.979,6252.126,1338.785,0.214
147,1.213,0,430.215,354.713,1366.687,1290.646,0.944
148,0.433,0.807354922,291.926,674.656,2163.992,1584.74,0.732
149,0.431,-0.415037499,677.377,1572.385,4480.961,1517.325,0.339
150,0.267,2.807354922,450.328,1688.011,4206.192,1011.114,0.24
151,0.386,1,584.493,1512.918,4868.844,1806.614,0.371
152,0.423,0,717.069,1693.405,5469.607,2266.291,0.414
153,0.372,0,1003.368,2694.382,7704.65,2349.66,0.305
154,0.432,0,899.257,2080.624,6925.912,2751.191,0.397
155,0.263,0.584962501,609.151,2316.3,6116.481,1680.948,0.275
156,0.317,1.263034406,712.316,2243.671,5550.901,1657.073,0.299
157,0.921,1,1031.115,1120.144,3817.188,2077.394,0.544
158,0.273,0.192645078,670.327,2453.134,6418.082,1637.73,0.255
159,0.239,0.584962501,291.482,1220.835,3521.639,900.945,0.256
160,0.327,0,761.902,2331.863,6692.447,1799.993,0.269
161,0.31,0,445.155,1438.243,3721.168,1008.413,0.271
162,0.319,0,349.031,1092.512,3311.677,872.578,0.263
163,0.504,-0.584962501,225.308,446.855,1280.983,603.826,0.471
164,0.147,1,188.129,1281.432,4374.991,870.097,0.199
165,0.202,1.584962501,177.097,875.867,2953.905,523.24,0.177
166,0.198,-1,436.69,2200.576,5435.157,1198.912,0.221
167,0.247,1,285.24,1153.457,2768.298,734.708,0.265
168,0.152,0.678071905,191.767,1258.365,2903.919,364.357,0.125
169,0.181,1,214.104,1184.925,3371.195,541.951,0.161
170,0.224,-1,158.301,706.413,2342.317,389.157,0.166
171,0.245,1.584962501,435.886,1781.839,5266.326,1105.662,0.21
172,0.195,1,423.466,2171.274,6209.845,1193.94,0.192
173,0.183,1,536.336,2936.293,7990.276,1441.402,0.18
174,0.191,2.321928095,351.589,1840.469,5343.297,1023.374,0.192
175,0.107,1.584962501,306.295,2860.092,8000.256,877.493,0.11
176,0.225,0.584962501,485.419,2157.798,6241.016,1302.541,0.209
177,0.2,0.584962501,455.694,2275.028,6191.531,1210.65,0.196
178,0.264,1,659.171,2495.904,5551.056,1934.147,0.348
179,0.204,1,637.213,3119.886,7394.015,1610.539,0.218
180,0.299,2.321928095,847.249,2831.952,7284.502,2194.515,0.301
181,0.466,0.584962501,1111.08,2382.634,6636.14,2250.17,0.339
182,0.292,0,642.714,2197.594,5402.925,1350.513,0.25
183,0.563,0,1312.818,2330.716,5575.732,2231.791,0.4
184,0.548,0,523.38,955.733,2904.437,1597.212,0.55
185,0.21,0.736965594,585.823,2795.682,7223.878,1441.432,0.2
186,0.55,0.415037499,380.416,691.903,2471.083,1065.164,0.431
187,0.509,-0.321928095,525.751,1032.554,3833.182,1613.935,0.421
188,0.367,1,553.592,1509.283,3669.359,1398.548,0.381
189,0.417,2,461.308,1105.386,3998.493,1537.694,0.385
190,0.318,0.321928095,535.96,1685.337,4442.148,1406.896,0.317
191,0.225,1,453.793,2019.602,6617.167,1573.638,0.238
192,0.552,-1,663.792,1201.799,3467.485,2007.182,0.579
193,0.323,1,498.236,1541.168,4851.827,1391.625,0.287
194,0.281,0,425.468,1513.864,4474.308,1096.761,0.245
195,0.233,0,332.478,1427.179,3966.717,858.903,0.217
196,0.41,0.584962501,523.783,1275.985,4305.153,1324.007,0.308
197,0.549,0.584962501,323.042,588.66,1786.28,812.499,0.455
198,0.331,0,232.758,702.317,2044.057,532.019,0.26
199,0.217,0.678071905,183.875,848.381,2912.009,599.593,0.206
200,0.211,0,154.168,729.488,2546.809,626.306,0.246
201,0.54,0,529.23,979.677,3057.78,1219.119,0.399
202,0.52,0.584962501,358.009,687.853,2990.663,1148.33,0.384
203,0.187,1,244.425,1310.416,3665.847,607.572,0.166
204,0.275,1,295.324,1072.919,3392.745,576.242,0.17
205,0.203,1.584962501,290.517,1432.111,3916.737,744.914,0.19
206,0.233,2.321928095,742.276,3190.477,8032.363,2096.739,0.261
207,0.131,1,457.514,3499.936,8998.63,1073.399,0.119
208,0.138,0.584962501,293.916,2125.821,5894.844,771.529,0.131
209,0.224,1,451.233,2012.571,5509.16,937.719,0.17
210,0.261,1,566.102,2171.069,6682.381,1579.818,0.236
211,0.301,0,636.555,2112.158,6750.621,1547.182,0.229
212,0.211,1.584962501,316.709,1498.801,4415.387,1034.584,0.234
213,0.312,1,612.234,1961.439,5341.791,1451.222,0.272
214,0.386,0,829.876,2150.664,6845.126,2201.354,0.322
215,0.42,0.584962501,1218.768,2898.827,7340.81,2725.301,0.371
216,0.279,0,1011.877,3620.96,7372.573,1984.458,0.269
217,0.268,0.584962501,717.825,2676.092,6472.178,1705.889,0.264
218,0.346,0,972.294,2811.249,7768.49,1923.451,0.248
219,0.278,2.321928095,309.259,1113.31,3412.224,637.848,0.187
220,0.369,1.584962501,672.609,1822.519,4087.188,1595.291,0.39
221,0.371,0.874469118,641.973,1728.779,3586.296,1694.389,0.472
222,0.31,1,632.63,2039.483,5010.71,1425.42,0.284
223,0.295,1,349.823,1184.643,4215.482,1009.49,0.239
224,0.199,2.321928095,221.003,1111.142,3082.096,595.748,0.193
225,0.381,0,374.794,984.5,2930.869,892.893,0.305
226,0.206,2,317.597,1539.325,4475.446,911.003,0.204
227,0.223,1.584962501,374.622,1678.566,5111.997,1131.512,0.221
228,0.35,0.584962501,706.444,2015.727,5632.838,1821.056,0.323
229,0.327,0,1085.576,3318.362,7868.067,2430.747,0.309
230,0.11,2,173.522,1571.114,3819.595,487.514,0.128
231,0.216,0,512.792,2369.848,6033.812,1256.842,0.208
232,0.342,1.584962501,636.759,1861.66,6001.034,1580.526,0.263
233,0.334,2,355.206,1064.947,3051.79,630.672,0.207
234,0.169,0,194.938,1150.339,3688.199,629.119,0.171
235,0.197,0,341.476,1735.542,4681.076,825.895,0.176
236,0.293,0,260.86,888.98,2820.212,584.959,0.207
237,0.197,0,243.051,1234.142,3540.95,964.101,0.272
238,0.236,1,124.253,527.149,2533.716,514.763,0.203
239,0.276,0.736965594,182.748,662.239,1845.814,484.681,0.263
240,0.185,1,203.872,1099.985,2939.959,480.556,0.163
241,0.202,0,224.935,1112.506,3514.107,613.46,0.175
242,0.302,1.321928095,1137.917,3763.355,8822.292,3112.356,0.353
243,0.321,2.321928095,723.5,2254.759,6720.635,2056.615,0.306
244,0.207,0.584962501,543.846,2628.499,6632.66,1678.153,0.253
245,0.286,1,592.859,2073.668,6349.604,1482.147,0.233
246,0.306,0.584962501,874.85,2860.62,6720.186,1912.042,0.285
247,0.185,1.584962501,457.323,2469.664,5987.065,1105.198,0.185
248,0.303,0,525.926,1736.84,5220.619,1200.699,0.23
249,0.383,0,396.45,1034.934,3578.745,1057.201,0.295
250,0.382,1.584962501,612.778,1604.576,5371.415,2036.841,0.379
251,0.308,-1,559.486,1814.056,5696.135,1811.218,0.318
252,0.364,0.584962501,641.442,1763.395,5028.372,1646.367,0.327
253,0.307,1,896.997,2923.035,6402.276,1936.019,0.302
254,0.321,1.584962501,874.795,2722.929,7011.542,1878.659,0.268
255,0.375,-0.584962501,304.846,812.232,2901.821,609.693,0.21
256,0.66,0,282.242,427.325,1787.642,477.641,0.267
257,0.214,3,388.516,1816.243,5130.631,1141.265,0.222
258,0.251,1.584962501,601.218,2396.021,5752.562,1390.317,0.242
259,0.532,0.415037499,394.133,740.521,2221.564,1261.227,0.568
260,1.249,0.584962501,583.787,467.367,1643.088,1576.224,0.959
261,0.6,1.584962501,569.025,948.205,2973.187,1138.049,0.383
262,0.523,0.415037499,480.366,919.32,3069.872,995.881,0.324
263,0.217,1,124.972,575.99,1638.731,499.888,0.305
264,0.354,0.584962501,323.353,914.036,2993.218,1293.413,0.432
265,0.445,-0.087462841,1111.954,2501.428,6197.568,2667.188,0.43
266,0.237,1,450.192,1901.549,5342.447,954.952,0.179
267,0.275,2.807354922,503.736,1833.767,4458.24,1072.471,0.241
268,0.244,2.807354922,258.321,1059.428,2891.614,482.2,0.167
269,0.339,0.584962501,448.983,1324.189,3767.721,1066.334,0.283
270,0.243,1.584962501,322.207,1325.058,4111.077,510.161,0.124
271,0.128,2.807354922,243.102,1900.433,4800.691,748.005,0.156
272,0.175,0,249.452,1426.504,3694.279,677.085,0.183
273,0.113,0,292.808,2597.116,5913.78,457.981,0.077
274,0.19,1.584962501,338.56,1780.56,4669.547,719.44,0.154
275,0.188,2.321928095,442.371,2359.083,5806.234,1007.622,0.174
276,0.195,0,301.517,1545.829,4463.144,725.873,0.163
277,0.181,0,276.842,1531.93,3627.329,662.963,0.183
278,0.265,1,251.686,950.564,3285.647,557.79,0.17
279,0.288,-1,184.648,640.487,1847.961,561.971,0.304
280,0.291,0,511.789,1758.572,4689.524,1535.368,0.327
281,0.358,1.584962501,478.497,1334.817,3734.488,1260.655,0.338
282,0.443,0.584962501,508.063,1148.116,3086.332,1198.261,0.388
283,0.437,-0.415037499,413.356,944.907,3380.234,1251.878,0.37
284,0.312,-0.584962501,668.141,2139.932,5196.978,1776.972,0.342
285,0.361,2.321928095,732.475,2029.205,4643.757,1392.508,0.3
286,0.177,1,343.794,1946.539,5618.211,1174.63,0.209
287,0.246,1,291.343,1186.226,3970.736,1120.551,0.282
288,0.193,1,318.463,1646.634,4586.331,577.952,0.126
289,0.251,-0.584962501,399.864,1595.443,5173.102,866.371,0.167
290,0.223,0,363.238,1625.794,5189.064,1079.896,0.208
291,0.243,1.584962501,373.711,1536.106,5204.988,1099.15,0.211
292,0.457,2.321928095,493.853,1079.663,3296.827,1073.594,0.326
293,0.275,1,195.543,710.95,2145.547,645.291,0.301
294,0.477,1,393.534,825.449,2543.275,885.452,0.348
295,0.338,2.584962501,486.114,1438.949,4850.891,1258.177,0.259
296,0.418,1.807354922,575.376,1374.961,4053.589,1671.847,0.412
297,0.339,0.321928095,289.366,853.948,2162.867,771.643,0.357
298,0.641,0.736965594,225.217,351.317,1053.95,627.389,0.595
299,0.432,1,250.966,581.246,2475.679,652.512,0.264
300,0.214,1.584962501,138.664,648.826,2553.891,539.248,0.211
301,0.358,1.222392421,184.214,514.917,1666.934,513.167,0.308
302,0.437,2,356.225,815.395,3622.947,1436.775,0.397
303,0.31,2,439.423,1415.216,4579.236,1052.571,0.23
304,0.235,2.321928095,384.842,1635.227,4799.326,897.964,0.187
305,0.11,1.807354922,119.585,1086.814,3390.387,493.286,0.145
306,0.19,2,161.269,851.013,2403.41,358.376,0.149
307,0.182,1.584962501,262.814,1445.841,3147.198,488.083,0.155
308,0.241,1,316.818,1317.273,3499.813,746.055,0.213
309,0.157,1.584962501,256.581,1632.981,4316.249,431.056,0.1
310,0.245,1.584962501,284.764,1160.439,3278.028,549.188,0.168
311,0.112,2.321928095,182.206,1629.273,3970.677,637.723,0.161
312,0.223,0,306.203,1370.211,3788.23,918.609,0.242
313,0.186,1,193.912,1042.036,3027.538,404.687,0.134
314,0.256,1.584962501,369.479,1444.175,4654.687,1196.408,0.257
315,0.218,0.584962501,267.78,1226.318,3761.495,766.148,0.204
316,0.218,1,220.999,1013.136,3426.241,581.963,0.17
317,0.267,1.584962501,346.412,1297.605,3776.176,896.595,0.237
318,0.501,2.321928095,273.748,545.926,2183.702,633.531,0.29
319,0.73,0.415037499,227.658,311.923,1150.888,395.407,0.344
320,0.416,1.584962501,520.407,1249.678,3719.631,1257.65,0.338
321,0.247,0.678071905,457.612,1852.458,4980.782,811.614,0.163
322,0.253,1,529.852,2090.337,5029.872,1269.646,0.252
323,0.354,-0.321928095,555.053,1566.706,4691.266,1325.96,0.283
324,0.35,1.584962501,590.791,1689.801,5385.481,1181.581,0.219
325,0.327,0.584962501,536.605,1643.114,4739.321,1333.382,0.281
326,0.188,1.584962501,278.112,1477.616,4432.847,556.223,0.125
327,0.276,1.584962501,375.197,1359.129,3611.83,1204.581,0.334
328,0.591,0,263.525,445.695,2050.197,658.814,0.321
329,1.077,0,1013.029,940.295,3474.067,2077.567,0.598
330,0.402,1,767.963,1912.079,5134.007,1886.226,0.367
331,0.348,0.736965594,228.945,658.753,2557.513,763.149,0.298
332,0.711,1.169925001,258.979,364.181,1632.941,1081.616,0.662
333,0.328,2.807354922,204.092,622.231,2226.931,928.618,0.417
334,0.427,2.321928095,122.59,286.866,1639.232,531.224,0.324
335,0.8,0.807354922,473.943,592.535,1979.935,928.137,0.469
336,0.647,-0.263034406,446.227,690.188,2117.469,1180.342,0.557
337,0.351,0.415037499,140.207,399.718,1503.702,660.974,0.44
338,0.543,0.584962501,307.392,565.718,2138.689,891.435,0.417
339,0.267,1.321928095,240.051,898.583,3126.577,640.136,0.205
340,0.404,1.807354922,180.889,448.075,1648.274,488.4,0.296
341,0.438,1,150.858,344.623,1184.088,573.261,0.484
342,0.151,1,336.066,2225.134,5821.31,976.192,0.168
343,0.285,1.321928095,280.242,982.436,3899.042,550.105,0.141
344,0.1,3.169925001,93.669,937.443,3443.131,351.26,0.102
345,0.236,1.807354922,164.556,698.744,2104.858,376.129,0.179
346,0.168,2,146.901,876.435,2832.268,264.422,0.093
347,0.167,3.169925001,193.615,1160.643,3133.735,451.769,0.144
348,0.102,2,104.952,1025.101,3176.797,250.269,0.079
349,0.249,0.415037499,265.923,1066.303,3358.854,688.27,0.205
350,0.176,2.321928095,446.712,2531.675,5831.018,944.968,0.162
351,0.274,0,303.894,1107.762,3600.226,998.51,0.277
352,0.253,0,496.417,1961.394,6271.3,1438.768,0.229
353,0.242,0.415037499,346.547,1433.797,3951.979,1060.858,0.268
354,0.247,1,272.633,1102.485,3256.572,836.919,0.257
355,0.255,1,303.846,1193.407,2868.365,681.802,0.238
356,0.357,-0.584962501,584.222,1635.686,3984.365,1468.451,0.369
357,0.357,0,288.004,806.909,3170.001,782.619,0.247
358,0.275,0.584962501,307.701,1118.402,3225.391,721.173,0.224
359,0.333,2.321928095,476.026,1431.488,3668.939,803.781,0.219
360,0.223,1,361.453,1622.547,3710.696,993.996,0.268
361,0.239,1,283.365,1187.141,3245.491,658.137,0.203
362,0.181,1.584962501,227.497,1259.767,3678.521,651.113,0.177
363,0.626,1.584962501,580.507,927.821,3118.245,1335.165,0.428
364,0.244,1,507.306,2080.236,6018.62,1156.187,0.192
365,0.252,0.584962501,421.265,1674.989,4576.544,1047.144,0.229
366,0.375,1,661.171,1763.765,5104.545,1419.314,0.278
367,0.478,0,580.268,1214.187,3256.23,1397.919,0.429
368,0.363,0,432.8,1192.055,4446.197,1032.06,0.232
369,0.785,0.807354922,569.123,724.639,2863.208,1552.152,0.542
370,1.407,1.584962501,109.187,77.622,892.651,509.539,0.571
371,0.675,0.807354922,304.627,451.27,1393.922,1108.841,0.795
372,0.46,-0.777607579,222.346,483.506,1667.747,698.803,0.419
373,0.713,-0.584962501,584.4,819.559,1683.181,1107.283,0.658
374,0.401,0.807354922,376.946,939.395,3279.921,1443.426,0.44
375,0.514,1.321928095,324.702,632.209,1884.231,825.283,0.438
376,0.423,1,250.187,591.003,2138.355,778.358,0.364
377,0.694,1.584962501,156.934,226.131,1285.375,282.481,0.22
378,0.501,1.321928095,229.083,457.582,1745.591,544.071,0.312
379,0.307,0.807354922,289.903,944.685,2670.775,790.645,0.296
380,0.305,1,199.653,655.355,2535.191,565.684,0.223
381,0.268,1.169925001,156.789,584.668,2375.213,378.906,0.16
382,0.133,2,182.23,1368.101,4400.999,468.593,0.106
383,0.255,4,181.008,708.695,2678.45,473.406,0.177
384,0.231,2,262.571,1134.881,3715.243,561.359,0.151
385,0.161,1.321928095,196.221,1220.174,4228.046,515.08,0.122
386,0.136,1,91.386,671.564,2496.842,355.389,0.142
387,0.2,1.584962501,145.672,729.345,3347.174,489.987,0.146
388,0.188,1.584962501,314.577,1677.389,5897.917,1008.075,0.171
389,0.193,0,490.001,2533.002,7418.077,1863.753,0.251
390,0.259,-0.584962501,366.738,1413.801,5231.062,1231.193,0.235
391,0.627,-1,203.047,323.675,1479.656,843.426,0.57
392,0.646,0,189.016,292.747,1395.43,556.548,0.399
393,0.221,1,242.809,1099.351,3972.32,783.926,0.197
394,0.264,1,367.259,1391.174,4310.922,918.147,0.213
395,0.237,0.830074999,280.144,1182.998,3833.512,639.303,0.167
396,0.182,0,264.577,1450.872,3837.018,601.311,0.157
397,0.272,2.321928095,381.124,1400.458,3784.216,724.884,0.192
398,0.321,2,507.394,1579.148,3927.271,1053.817,0.268
399,0.246,1.584962501,406.058,1650.424,4126.06,1073.154,0.26
400,0.302,1,311.06,1030.971,2454.693,764.318,0.311
401,0.351,1,386.449,1102.42,2875.877,805.101,0.28
402,0.267,1,336.354,1259.204,3701.038,731.569,0.198
403,0.116,0,243.572,2095.907,5027.026,661.124,0.132
404,0.225,0.415037499,454.24,2018.165,5197.467,977.044,0.188
405,0.235,-0.584962501,279.58,1189.49,3719.999,737.073,0.198
406,0.263,0,420.883,1602.022,5564.166,935.295,0.168
407,0.686,-0.263034406,421.853,614.682,2104.82,1251.011,0.594
408,0.45,0.678071905,237.738,527.9,1422.397,624.063,0.439
409,0.778,0.415037499,583.722,750.588,1760,1246.326,0.708
410,0.264,1.584962501,196.325,744.586,1848.628,333.752,0.181
411,0.456,1.807354922,204.118,447.139,1511.756,554.034,0.366
412,1.075,0,466.555,433.88,1818.603,933.11,0.513
413,1.582,0.415037499,471.494,297.987,1080.205,825.114,0.764
414,0.186,1.222392421,99.474,535.508,1321.678,284.212,0.215
415,0.168,0.584962501,55.447,329.635,965.36,314.199,0.325
416,0.285,2,162.663,569.895,2069.617,621.079,0.3
417,0.325,3,184.716,567.694,2033.138,377.463,0.186
418,0.393,3,186.832,475.829,1490.932,493.237,0.331
419,0.261,2.807354922,153.867,589.202,2211.643,384.668,0.174
420,0.067,3.169925001,66.036,986.303,3537.342,235.843,0.067
421,0.132,3,82.081,623.414,2362.412,310.084,0.131
422,0.326,1.807354922,197.555,605.239,2184.534,592.664,0.271
423,0.136,2.807354922,88.562,649.702,2413.18,317.349,0.132
424,0.113,1.584962501,76.55,677.757,2973.386,244.958,0.082
